ts,strategy,strategy_version,config_version,feature_version,mode,asset,market_id,window,direction,elapsed,remaining_sec,reference_price,current_price,move_pct,entry_price,bid,ask,spread,depth_usd,imbalance,confidence,regime,entry_bucket,move_bucket,elapsed_bucket,decision,decision_reason,risk_gate,size_requested,size_granted,execution_state,execution_quality,filled_shares,remaining_shares,average_fill_price,slippage,resolution,hypothetical_pnl,realized_pnl,bankroll,exposure,open_positions,meta
2026-08-31T08:27:07.174340+00:00,momentum_late_window,1.0.0,baseline-A-1.5.0,1,shadow,ETH,3995593,15m,DOWN,0.808,172.8,2440.17,2434.36,-0.2381,0.5,0.49,0.5,0.01,117.02,-0.6001,0.814,,,,,REJECT,лимит на одно окно времени,MAX_PER_WINDOW,50.0,0.0,SHADOW,,,,,,WIN,50.0,,1000.0,50.0,1,{"reason": "движение -0.238% ≥ 0.10%; вход 0.500"; "required_move": 0.001; "elapsed": 0.808}
2026-08-31T08:27:22.174457+00:00,momentum_late_window,1.0.0,baseline-A-1.5.0,1,shadow,XRP,3995584,15m,DOWN,0.8246,157.8,1.3718,1.366,-0.4228,0.5,0.49,0.5,0.01,33.47,-0.097,0.874,,,,,REJECT,лимит на одно окно времени,MAX_PER_WINDOW,50.0,0.0,SHADOW,,,,,,WIN,50.0,,1000.0,50.0,1,{"reason": "движение -0.423% ≥ 0.10%; вход 0.500"; "required_move": 0.001; "elapsed": 0.825}
2026-08-31T08:27:22.174457+00:00,momentum_late_window,1.0.0,baseline-A-1.5.0,1,shadow,BTC,3995591,15m,DOWN,0.8246,157.8,78146.51,78011.21,-0.1731,0.51,0.5,0.51,0.01,1006.19,-0.9202,0.799,,,,,REJECT,лимит на одно окно времени,MAX_PER_WINDOW,50.0,0.0,SHADOW,,,,,,WIN,48.04,,1000.0,50.0,1,{"reason": "движение -0.173% ≥ 0.10%; вход 0.510"; "required_move": 0.001; "elapsed": 0.825}
2026-08-31T08:27:22.174457+00:00,momentum_late_window,1.0.0,baseline-A-1.5.0,1,shadow,ETH,3995593,15m,DOWN,0.8246,157.8,2440.17,2433.92,-0.2561,0.5,0.49,0.5,0.01,117.02,-0.6001,0.824,,,,,REJECT,лимит на одно окно времени,MAX_PER_WINDOW,50.0,0.0,SHADOW,,,,,,WIN,50.0,,1000.0,50.0,1,{"reason": "движение -0.256% ≥ 0.10%; вход 0.500"; "required_move": 0.001; "elapsed": 0.825}
2026-08-31T08:27:22.174457+00:00,momentum_late_window,1.0.0,baseline-A-1.5.0,1,shadow,SOL,3995594,15m,DOWN,0.8246,157.8,102.765,102.59,-0.1703,0.54,0.46,0.54,0.08,37.57,-0.8097,0.798,,,,,REJECT,лимит на одно окно времени,MAX_PER_WINDOW,50.0,0.0,SHADOW,,,,,,LOSS,-50.0,,1000.0,50.0,1,{"reason": "движение -0.170% ≥ 0.10%; вход 0.540"; "required_move": 0.001; "elapsed": 0.825}
2026-08-31T08:27:37.174602+00:00,momentum_late_window,1.0.0,baseline-A-1.5.0,1,shadow,SOL,3995594,15m,DOWN,0.8413,142.8,102.765,102.58,-0.18,0.54,0.46,0.54,0.08,37.57,-0.8097,0.806,,,,,REJECT,лимит на одно окно времени,MAX_PER_WINDOW,50.0,0.0,SHADOW,,,,,,LOSS,-50.0,,1000.0,50.0,1,{"reason": "движение -0.180% ≥ 0.10%; вход 0.540"; "required_move": 0.001; "elapsed": 0.841}
2026-08-31T08:27:37.174602+00:00,momentum_late_window,1.0.0,baseline-A-1.5.0,1,shadow,XRP,3995584,15m,DOWN,0.8413,142.8,1.3718,1.3656,-0.452,0.5,0.49,0.5,0.01,33.47,-0.097,0.888,,,,,REJECT,лимит на одно окно времени,MAX_PER_WINDOW,50.0,0.0,SHADOW,,,,,,WIN,50.0,,1000.0,50.0,1,{"reason": "движение -0.452% ≥ 0.10%; вход 0.500"; "required_move": 0.001; "elapsed": 0.841}
2026-08-31T08:27:37.174602+00:00,momentum_late_window,1.0.0,baseline-A-1.5.0,1,shadow,BTC,3995591,15m,DOWN,0.8413,142.8,78146.51,78011.21,-0.1731,0.51,0.5,0.51,0.01,1006.19,-0.9202,0.804,,,,,REJECT,лимит на одно окно времени,MAX_PER_WINDOW,50.0,0.0,SHADOW,,,,,,WIN,48.04,,1000.0,50.0,1,{"reason": "движение -0.173% ≥ 0.10%; вход 0.510"; "required_move": 0.001; "elapsed": 0.841}
2026-08-31T08:27:37.174602+00:00,momentum_late_window,1.0.0,baseline-A-1.5.0,1,shadow,ETH,3995593,15m,DOWN,0.8413,142.8,2440.17,2433.88,-0.2578,0.5,0.49,0.5,0.01,117.02,-0.6001,0.83,,,,,REJECT,лимит на одно окно времени,MAX_PER_WINDOW,50.0,0.0,SHADOW,,,,,,WIN,50.0,,1000.0,50.0,1,{"reason": "движение -0.258% ≥ 0.10%; вход 0.500"; "required_move": 0.001; "elapsed": 0.841}
2026-08-31T08:27:52.174687+00:00,momentum_late_window,1.0.0,baseline-A-1.5.0,1,shadow,BTC,3995591,15m,DOWN,0.858,127.8,78146.51,78055.74,-0.1162,0.51,0.5,0.51,0.01,1006.19,-0.9202,0.792,,,,,REJECT,лимит на одно окно времени,MAX_PER_WINDOW,50.0,0.0,SHADOW,,,,,,WIN,48.04,,1000.0,50.0,1,{"reason": "движение -0.116% ≥ 0.10%; вход 0.510"; "required_move": 0.001; "elapsed": 0.858}
